s,X,Y,Z,lambda,phi
4.27782966475481,53.9926769353979,63.1672650566874,2.08174123494443,58.9331837560219,-4.44089209850063e-16
8.55565932950962,52.7766586225156,72.2127751197612,4.63952769716913,63.8483676012704,-1.55431223447522e-15
12.8334889942644,51.3356361283878,82.1768430674946,7.71730316673807,69.8108511651777,-1.55431223447522e-15
17.1113186590192,49.6709811812534,93.0914106230528,11.3825705734436,76.8782694578432,-2.66453525910038e-15
21.389148323774,47.7893041681024,104.92157378677,15.6817583362623,85.0394257796733,-1.77635683940025e-15
25.6669779885289,45.7104392540149,117.548908092693,20.6279995476758,94.1938225802772,3.10862446895044e-15
29.9448076532837,43.4699308941442,130.765161616366,26.1887569616452,104.141118185762,-2.66453525910038e-15
34.2226373180385,41.1173480351594,144.28782086085,32.2809518246299,114.593448301402,1.77635683940025e-15
38.5004669827933,38.7103519354155,157.796702625119,38.7777252483419,125.211302506091,4.44089209850063e-15
42.7782966475481,36.3059393396843,170.976084422906,45.5235730067016,135.64770539621,-7.99360577730113e-15
47.0561263123029,33.9547865872186,183.553652562539,52.3552926272457,145.591381397606,-4.44089209850063e-15
51.3339559770577,31.6938737032444,195.331996061161,59.1250735492881,154.804541818321,-8.88178419700125e-16
55.6117856418125,29.5410485938029,206.191583877118,65.7113952178819,163.130530683376,-5.32907051820075e-15
59.8896153065673,27.4868134261611,216.128012737964,72.0536555705202,170.542322076807,2.66453525910038e-15
64.1674449713221,25.5398507203036,225.193945707059,78.1318301842317,177.077054043045,1.77635683940025e-15
68.445274636077,23.6896052267548,233.391995817822,83.8920949231435,182.715609644355,2.66453525910038e-15
72.7231043008317,21.8944044869185,240.858343209053,89.3789340886656,187.60216062757,0
77.0009339655866,20.1413539240924,247.705076552525,94.6348339457506,191.855063273689,-1.24344978758018e-14
81.2787636303414,18.3795473229235,254.019165599856,99.6910578612738,195.57159863813,1.33226762955019e-14
85.5565932950962,16.6327848760446,259.973734928603,104.667943486775,198.953013196765,-6.21724893790088e-15
89.834422959851,14.8612949185029,265.537349224687,109.518743348381,201.958036406963,3.5527136788005e-15
94.1122526246058,13.0529125061906,270.839520395838,114.344246133816,204.747622387972,-3.5527136788005e-15
98.3900822893606,11.2065243477297,275.9227617507,119.178606764511,207.376169263212,-5.32907051820075e-15
102.667911954115,9.27175264382033,280.844045532111,124.075493887878,209.928139153279,-5.32907051820075e-15
106.94574161887,7.33111660259592,285.621900601655,129.062216323517,212.421671009555,7.99360577730113e-15
111.223571283625,5.33996258799106,290.214699812488,134.097400125085,214.811780490548,-3.5527136788005e-15
115.50140094838,3.28232128185822,294.658900954164,139.225698667519,217.157003176277,-1.06581410364015e-14
119.779230613135,1.15980589013774,298.994341669137,144.505667358959,219.523519299251,-2.30926389122033e-14
124.057060277889,-0.918556929297303,303.238764070765,149.978517676908,221.931634123795,3.10862446895044e-14
128.334889942644,-3.10620757428354,307.14224538126,155.3180872675,224.039117024968,2.39808173319034e-14
132.612719607399,-5.30480860045655,310.982246133065,160.902143550884,226.255684045611,-3.37507799486048e-14
136.890549272154,-7.48460451773182,314.624296153711,166.551724619338,228.376249597391,2.66453525910038e-15
141.168378936909,-9.66338017917738,318.060479950067,172.253015995553,230.394017079794,-1.15463194561016e-14
145.446208601663,-11.865859080514,321.257997940389,177.944466410673,232.257401041016,-4.44089209850063e-15
149.724038266418,-14.0250753718427,324.285878746009,183.736433178481,234.072404010473,9.76996261670138e-15
154.001867931173,-16.1441056502241,327.147679030101,189.640673792295,235.853310410276,1.4210854715202e-14
158.279697595928,-18.3290967586383,329.770155566172,195.513548970165,237.486920336117,0
162.557527260683,-20.4102615900163,332.175134429258,201.358151119051,238.957938534628,-7.105427357601e-15
166.835356925438,-22.5048231408251,334.37615434118,207.198322443148,240.318422011567,-1.06581410364015e-14
171.113186590192,-24.6192808258477,336.397364794105,213.08252627671,241.620701225454,-7.99360577730113e-15
175.391016254947,-26.6566431567637,338.271425461862,219.079515184151,242.913591730449,4.88498130835069e-14
179.668845919702,-28.6563848970692,339.956351335956,225.06333759454,244.100154124802,3.99680288865056e-14
183.946675584457,-30.7081437244091,341.390984536537,230.802704424891,245.010734057715,-2.1316282072803e-14
188.224505249212,-32.5369802287194,342.764527327016,236.869133529637,246.086124458705,-1.68753899743024e-14
192.502334913966,-34.6618389398874,343.925498104085,242.874226723111,247.094829525114,-9.76996261670138e-15
196.780164578721,-36.4396434369855,344.942769163476,248.788041956977,247.912109245991,6.92779167366098e-14
201.057994243476,-38.4882100442954,345.813849460195,254.895676594716,248.880155013163,-1.15463194561016e-14
205.335823908231,-40.2783188847082,346.542975010276,260.877587708893,249.658446641883,-2.48689957516035e-14
209.613653572986,-42.2622729296613,347.13841347059,267.091179816487,250.614201467206,3.81916720471054e-14
213.89148323774,-44.0617059085017,347.603271867146,273.199708220085,251.423372314075,-1.77635683940025e-14
218.169312902495,-45.9816536614007,347.929029779019,279.378505580984,252.283008119714,5.50670620214078e-14
222.44714256725,-47.880654939054,348.149165646295,285.800546895599,253.30941665642,4.17443857259059e-14
226.724972232005,-49.7628540337167,348.247576033521,292.192652927452,254.298926936223,-4.44089209850063e-15
231.00280189676,-51.6943321645323,348.23261898367,298.694566793946,255.37972796037,-7.105427357601e-15
235.280631561515,-53.7008646967401,348.111092531972,305.433410985236,256.664359750121,-1.11022302462516e-14
239.558461226269,-55.6439048969383,347.910392615728,312.234391162895,258.004909804366,2.1316282072803e-14
243.836290891024,-57.6914177711584,347.622842121111,319.219516556098,259.538691724433,2.35367281220533e-14
248.114120555779,-59.8032252564334,347.275318627731,326.437560276095,261.313859911762,-2.22044604925031e-15
252.391950220534,-62.0042284021847,346.889137087413,333.938205514748,263.393760417403,-2.53130849614536e-14
256.669779885289,-64.3075053751854,346.469540539166,341.752452980799,265.81538799369,-3.24185123190546e-14
260.947609550043,-66.7188475158122,346.013284651271,349.900247841212,268.600786406647,-3.99680288865056e-15
265.225439214798,-69.2462926700839,345.51635087279,358.400280975546,271.771534468796,5.55111512312578e-14
269.503268879553,-71.9033993039178,344.973185823973,367.268014618479,275.347683853603,3.99680288865056e-15
273.781098544308,-74.7004454587658,344.378340226649,376.518285530755,279.348176542312,1.79856129989275e-14
278.058928209063,-77.6481945137482,343.725698279537,386.163105078376,283.789571461682,1.57651669496772e-14
282.336757873817,-80.7545558076966,343.009182800259,396.212356780087,288.68589223461,7.71605002114484e-15
286.614587538572,-84.0561490391061,342.215080874171,406.6564715313,294.039370545704,2.4008572907519e-15
290.892417203327,-87.6177387935846,341.320567235113,417.764102000828,300.100127247248,-4.88498130835069e-15
295.170246868082,-91.2230616484059,340.374721141995,429.126581293862,306.475371503398,-1.765254609154e-14
299.448076532837,-95.1623784359912,339.294443661262,441.182451162904,313.608122737964,-3.33066907387547e-15
303.725906197591,-99.0978288517587,338.165962340782,453.556314330137,321.105149463699,5.28466159721575e-14
308.003735862346,-103.613081594239,336.809927246133,466.667433310318,329.456033894158,-2.39808173319034e-14
312.281565527101,-107.961410469444,335.441398188191,479.724246670703,337.80546467521,-4.21884749357559e-14
316.559395191856,-112.54740622134,333.930650168337,494.06723494354,347.443777276294,3.10862446895044e-15
320.837224856611,-117.727356657061,332.139830889854,508.737394174673,357.58047858511,2.30926389122033e-14
