z,r,dr_dz,d2r_dz2,curvature
0.000000,55.035000,2.924548,-0.026475,0.000897
0.384462,56.159378,2.914369,-0.039795,0.001360
0.768924,57.275930,2.893949,-0.053265,0.001856
1.153387,58.384606,2.873413,-0.053539,0.001901
1.537849,59.485367,2.852781,-0.053762,0.001946
1.922311,60.578179,2.832073,-0.053938,0.001991
2.306773,61.663017,2.811307,-0.054067,0.002035
2.691236,62.739862,2.790500,-0.054153,0.002079
3.075698,63.808701,2.769667,-0.054199,0.002123
3.460160,64.869527,2.748825,-0.054205,0.002166
3.844622,65.922340,2.727988,-0.054175,0.002209
4.229085,66.967144,2.707168,-0.054111,0.002251
4.613547,68.003948,2.686380,-0.054014,0.002293
4.998009,69.032767,2.665636,-0.053886,0.002335
5.382471,70.053620,2.644946,-0.053729,0.002376
5.766933,71.066531,2.624322,-0.053545,0.002417
6.151396,72.071526,2.603774,-0.053336,0.002458
6.535858,73.068636,2.583311,-0.053102,0.002498
6.920320,74.057897,2.562942,-0.052846,0.002538
7.304782,75.039345,2.542676,-0.052569,0.002577
7.689245,76.013023,2.522520,-0.052273,0.002616
8.073707,76.978973,2.502482,-0.051958,0.002655
8.458169,77.937243,2.482569,-0.051626,0.002693
8.842631,78.887881,2.462786,-0.051278,0.002730
9.227094,79.830939,2.443140,-0.050915,0.002768
9.611556,80.766471,2.423636,-0.050539,0.002804
9.996018,81.694532,2.404279,-0.050150,0.002840
10.380480,82.615180,2.385074,-0.049750,0.002876
10.764942,83.528474,2.366025,-0.049339,0.002911
11.149405,84.434475,2.347136,-0.048918,0.002946
11.533867,85.333245,2.328411,-0.048489,0.002980
11.918329,86.224847,2.309852,-0.048051,0.003013
12.302791,87.109346,2.291463,-0.047606,0.003046
12.687254,87.986809,2.273247,-0.047155,0.003079
13.071716,88.857301,2.255205,-0.046698,0.003110
13.456178,89.720891,2.237340,-0.046235,0.003141
13.840640,90.577647,2.219653,-0.045769,0.003172
14.225103,91.427637,2.202147,-0.045298,0.003202
14.609565,92.270931,2.184823,-0.044824,0.003231
14.994027,93.107600,2.167681,-0.044347,0.003260
15.378489,93.937714,2.150723,-0.043868,0.003288
15.762951,94.761344,2.133949,-0.043388,0.003315
16.147414,95.578560,2.117361,-0.042906,0.003342
16.531876,96.389434,2.100958,-0.042423,0.003368
16.916338,97.194038,2.084741,-0.041939,0.003393
17.300800,97.992443,2.068710,-0.041456,0.003417
17.685263,98.784720,2.052865,-0.040973,0.003441
18.069725,99.570941,2.037205,-0.040491,0.003464
18.454187,100.351176,2.021730,-0.040009,0.003487
18.838649,101.125498,2.006440,-0.039529,0.003508
19.223112,101.893978,1.991335,-0.039051,0.003529
19.607574,102.656685,1.976413,-0.038574,0.003550
19.992036,103.413690,1.961674,-0.038100,0.003569
20.376498,104.165064,1.947117,-0.037628,0.003588
20.760960,104.910876,1.932741,-0.037158,0.003606
21.145423,105.651196,1.918545,-0.036692,0.003623
21.529885,106.386092,1.904528,-0.036228,0.003640
21.914347,107.115634,1.890689,-0.035767,0.003655
22.298809,107.839889,1.877026,-0.035310,0.003671
22.683272,108.558925,1.863538,-0.034857,0.003685
23.067734,109.272809,1.850224,-0.034406,0.003698
23.452196,109.981607,1.837082,-0.033960,0.003711
23.836658,110.685386,1.824111,-0.033518,0.003723
24.221121,111.384210,1.811309,-0.033079,0.003735
24.605583,112.078146,1.798675,-0.032645,0.003745
24.990045,112.767256,1.786208,-0.032215,0.003755
25.374507,113.451605,1.773905,-0.031789,0.003765
25.758969,114.131255,1.761765,-0.031367,0.003773
26.143432,114.806269,1.749786,-0.030950,0.003781
26.527894,115.476708,1.737967,-0.030537,0.003788
26.912356,116.142634,1.726305,-0.030129,0.003794
27.296818,116.804106,1.714800,-0.029725,0.003800
27.681281,117.461185,1.703449,-0.029326,0.003805
28.065743,118.113930,1.692250,-0.028932,0.003810
28.450205,118.762398,1.681202,-0.028542,0.003813
28.834667,119.406647,1.670303,-0.028157,0.003816
29.219130,120.046734,1.659551,-0.027777,0.003819
29.603592,120.682716,1.648944,-0.027402,0.003821
29.988054,121.314648,1.638481,-0.027031,0.003822
30.372516,121.942585,1.628160,-0.026665,0.003822
30.756978,122.566580,1.617978,-0.026303,0.003822
31.141441,123.186688,1.607935,-0.025947,0.003822
31.525903,123.802960,1.598027,-0.025595,0.003821
