step,z_k,z_next,predictor,u_cur,v_cur,u_pred,v_pred,Phi_before,Phi_after,newton_iters,newton_conv,u_after,v_after,kappa_n,flag,ds_ratio,bisect_level,note
0,0.0,12.9702,OPTICAL,0.0,1.266506,0.0,1.266506,3.6572e+01,3.3440e-12,7,1,0.01422,0.147984,-1.764057e-03,0,2.6919,0,OK
1,12.9702,25.9404,OPTICAL,0.01422,0.147984,1.423643,0.425288,7.4119e+00,-7.9226e-13,4,1,1.03664,0.290884,-5.779798e-03,0,1.0452,0,OK
2,25.9404,38.9105,OPTICAL,1.03664,0.290884,3.22651,0.556419,7.2090e+00,-1.4921e-12,4,1,2.581586,0.427181,-5.401230e-03,0,1.0842,0,OK
3,38.9105,51.8807,OPTICAL,2.581586,0.427181,5.669255,0.677521,7.0688e+00,5.6097e-12,4,1,4.624951,0.554995,-4.946572e-03,0,1.0986,0,OK
4,51.8807,64.8509,OPTICAL,4.624951,0.554995,8.704191,0.785501,7.0011e+00,2.2311e-12,4,1,7.106582,0.672649,-4.521089e-03,0,1.0862,0,OK
5,64.8509,77.8211,OPTICAL,7.106582,0.672649,12.196296,0.879109,6.9871e+00,1.1269e-11,4,1,9.953369,0.779116,-4.192636e-03,0,1.0572,0,OK
6,77.8211,90.7913,OPTICAL,9.953369,0.779116,15.986081,0.959346,6.9874e+00,-7.2092e-11,3,1,13.116019,0.873854,-3.984192e-03,0,1.0275,0,OK
7,90.7913,103.7614,OPTICAL,13.116019,0.873854,19.967786,1.028221,6.9656e+00,-4.0131e-11,3,1,16.571709,0.956673,-3.886576e-03,0,1.0064,0,OK
8,103.7614,116.7316,OPTICAL,16.571709,0.956673,24.108452,1.087643,6.9031e+00,-6.7132e-11,3,1,20.307906,1.027944,-3.872558e-03,0,0.9961,0,OK
9,116.7316,129.7018,DAE,20.307906,1.027944,24.267155,1.089792,8.5566e-07,1.0807e-11,1,1,24.267154,1.089792,-3.905480e-03,0,0.9924,0,OK
10,129.7018,142.672,DAE,24.267154,1.089792,28.504727,1.142588,1.8918e-06,-7.6312e-12,1,1,28.504725,1.142588,-3.945252e-03,0,0.9963,0,OK
11,142.672,155.6422,DAE,28.504725,1.142588,33.014347,1.188468,2.2666e-06,-2.1743e-12,1,1,33.014346,1.188468,-3.962918e-03,0,1.0022,0,OK
12,155.6422,168.6124,DAE,33.014346,1.188468,37.822412,1.229165,2.3389e-06,1.9895e-13,1,1,37.82241,1.229165,-3.935908e-03,0,1.0094,0,OK
13,168.6124,181.5825,DAE,37.82241,1.229165,42.981644,1.266037,2.6488e-06,-1.1795e-12,1,1,42.981642,1.266037,-3.853722e-03,0,1.0171,0,OK
14,181.5825,194.5527,DAE,42.981642,1.266037,48.567053,1.300177,3.1262e-06,-9.6634e-13,1,1,48.56705,1.300177,-3.715306e-03,0,1.0252,0,OK
15,194.5527,207.5229,DAE,48.56705,1.300177,54.674055,1.332518,3.7977e-06,8.1997e-12,1,1,54.674052,1.332518,-3.526333e-03,0,1.0332,0,OK
16,207.5229,220.4931,DAE,54.674052,1.332518,61.41662,1.363901,1.4512e-06,-1.5604e-11,1,1,61.416619,1.363901,-3.297181e-03,0,1.0406,0,OK
17,220.4931,233.4633,DAE,61.416619,1.363901,68.920256,1.395077,-9.9333e-07,-7.7165e-12,1,1,68.920257,1.395077,-3.042181e-03,0,1.0463,0,OK
18,233.4633,246.4334,DAE,68.920257,1.395077,77.296666,1.426549,6.7601e-07,-1.4211e-12,1,1,77.296665,1.426549,-2.781070e-03,0,1.0481,0,OK
19,246.4334,259.4036,DAE,77.296665,1.426549,86.570009,1.458115,-8.6551e-06,-2.6589e-11,1,1,86.570022,1.458115,-2.543906e-03,0,1.0408,0,OK
20,259.4036,272.3738,DAE,86.570022,1.458115,96.517426,1.488223,-6.2815e-07,-1.3998e-11,1,1,96.517427,1.488223,-2.379233e-03,0,1.0175,0,OK
21,272.3738,285.344,DAE,96.517427,1.488223,106.511367,1.514334,1.6121e-06,6.9207e-12,1,1,106.511364,1.514334,-2.356305e-03,0,0.9781,0,OK
22,285.344,298.3142,DAE,106.511364,1.514334,115.733293,1.535184,9.6284e-07,2.7427e-12,1,1,115.733292,1.535184,-2.536209e-03,0,0.9403,0,OK
23,298.3142,311.2843,DAE,115.733292,1.535184,123.708496,1.551801,-1.1270e-06,3.2230e-11,1,1,123.708498,1.551801,-2.916260e-03,0,0.9213,0,OK
24,311.2843,324.2545,DAE,123.708498,1.551801,130.426643,1.565897,2.9492e-06,6.6933e-12,1,1,130.426639,1.565897,-3.429042e-03,0,0.9195,0,OK
25,324.2545,337.2247,DAE,130.426639,1.565897,136.087725,1.578712,-1.9279e-07,1.1525e-11,1,1,136.087725,1.578712,-3.999416e-03,0,0.9265,0,OK
26,337.2247,350.1949,DAE,136.087725,1.578712,140.914784,1.590942,-3.0916e-07,-1.5120e-11,1,1,140.914784,1.590942,-4.576102e-03,0,0.9367,0,OK
27,350.1949,363.1651,DAE,140.914784,1.590942,145.094011,1.602935,-4.6778e-07,2.0563e-11,1,1,145.094012,1.602935,-5.130398e-03,0,0.9473,0,OK
