s,z_orig,r_orig,z_smooth,r_smooth,dr_orig,dz_orig,dr_smooth,dz_smooth,curvature_orig,curvature_smooth
0.000000,0.000000,55.035000,-0.000000,55.035000,0.945691,0.325067,1.061182,0.369834,0.00093824,0.00013004
2.959012,0.961877,57.833311,1.051759,58.047060,0.944781,0.327690,0.981628,0.343902,0.00144018,0.00093767
5.871394,1.923755,60.582268,2.036467,60.841450,0.942920,0.333007,0.944082,0.335081,0.00199077,0.00181041
8.736703,2.885632,63.281301,2.998123,63.527981,0.940951,0.338530,0.933179,0.336963,0.00210114,0.00200391
11.554851,3.847509,65.930217,3.954306,66.152623,0.938877,0.344238,0.929988,0.341847,0.00220876,0.00209416
14.325941,4.809387,68.529011,4.909769,68.727569,0.936701,0.350115,0.928516,0.347969,0.00231429,0.00249730
17.050281,5.771264,71.077897,5.866655,71.255449,0.934425,0.356146,0.927254,0.354431,0.00241749,0.00234334
19.728330,6.733141,73.577245,6.824219,73.736873,0.932050,0.362314,0.925854,0.360747,0.00251816,0.00249968
22.360702,7.695019,76.027586,7.782323,76.171941,0.929580,0.368605,0.924194,0.367226,0.00261628,0.00260293
24.948124,8.656896,78.429575,8.740916,78.560831,0.927017,0.375004,0.922307,0.373763,0.00271171,0.00268443
27.491419,9.618773,80.783962,9.699988,80.903878,0.924363,0.381498,0.920164,0.380521,0.00280417,0.00292323
29.991502,10.580651,83.091602,10.659865,83.201482,0.921622,0.388073,0.917844,0.387323,0.00289358,0.00285985
32.449342,11.542528,85.353410,11.620040,85.454453,0.918796,0.394716,0.915414,0.394032,0.00297966,0.00297925
34.865973,12.504406,87.570366,12.580426,87.663593,0.915889,0.401414,0.912840,0.400802,0.00306224,0.00304729
37.242463,13.466283,89.743496,13.540970,89.829777,0.912905,0.408155,0.910142,0.407597,0.00314117,0.00313673
39.579910,14.428160,91.873860,14.501634,91.953939,0.909846,0.414928,0.907343,0.414388,0.00321625,0.00317801
41.879437,15.390038,93.962548,15.462385,94.037067,0.906718,0.421722,0.904403,0.421280,0.00328733,0.00336713
44.142172,16.351915,96.010660,16.423507,96.080040,0.903522,0.428524,0.901336,0.428244,0.00335422,0.00338696
46.369257,17.313792,98.019316,17.384874,98.083946,0.900265,0.435326,0.898230,0.435093,0.00341687,0.00339193
48.561822,18.275670,99.989629,18.346243,100.049941,0.896949,0.442118,0.895081,0.441852,0.00347503,0.00343411
50.720998,19.237547,101.922718,19.307515,101.979138,0.893580,0.448888,0.891876,0.448564,0.00352867,0.00347876
52.847904,20.199424,103.819695,20.268605,103.872646,0.890161,0.455631,0.888648,0.455170,0.00357782,0.00345650
54.943638,21.161302,105.681655,21.229622,105.731476,0.886697,0.462336,0.885179,0.462100,0.00362232,0.00396120
57.009288,22.123179,107.509686,22.191369,107.556266,0.883193,0.468996,0.881680,0.468933,0.00366226,0.00349252
59.045911,23.085056,109.304854,23.152784,109.348591,0.879652,0.475603,0.878416,0.475175,0.00369749,0.00344268
61.054547,24.046934,111.068206,24.113750,111.109549,0.876080,0.482152,0.874856,0.481851,0.00372809,0.00410912
63.036209,25.008811,112.800770,25.075431,112.839522,0.872480,0.488636,0.871185,0.488593,0.00375425,0.00365681
64.991883,25.970688,114.503547,26.036885,114.539995,0.868858,0.495048,0.867876,0.494559,0.00377597,0.00333618
66.922525,26.932566,116.177515,26.997763,116.212138,0.865216,0.501386,0.864136,0.501172,0.00379321,0.00455048
68.829063,27.894443,117.823626,27.959667,117.855975,0.861561,0.507642,0.860504,0.507484,0.00380618,0.00310489
70.712399,28.856320,119.442808,28.920770,119.473470,0.857894,0.513814,0.856995,0.513467,0.00381509,0.00427479
72.573401,29.818198,121.035955,29.882327,121.064779,0.854222,0.519897,0.853275,0.519710,0.00381997,0.00355000
74.412910,30.780075,122.603943,30.843631,122.631184,0.850546,0.525889,0.849732,0.525550,0.00382106,0.00389002
76.231735,31.741952,124.147613,31.804961,124.173353,0.846871,0.531787,0.846056,0.531517,0.00381838,0.00382994
78.030658,32.703830,125.667783,32.766332,125.692085,0.843201,0.537588,0.842440,0.537290,0.00381218,0.00375579
79.810432,33.665707,127.165243,33.727614,127.188248,0.839538,0.543291,0.838845,0.542942,0.00380277,0.00378312
81.571779,34.627584,128.640754,34.688909,128.662531,0.835885,0.548894,0.835166,0.548634,0.00379025,0.00392417
83.315396,35.589462,130.095055,35.650279,130.115626,0.832247,0.554396,0.831672,0.553966,0.00377474,0.00339944
85.041947,36.551339,131.528852,36.611347,131.548485,0.828624,0.559796,0.827959,0.559542,0.00375628,0.00437135
86.752079,37.513217,132.942833,37.572908,132.961261,0.825021,0.565094,0.824526,0.564636,0.00373543,0.00282261
88.446406,38.475094,134.337657,38.533682,134.355476,0.821438,0.570289,0.820909,0.569914,0.00371229,0.00473994
90.125515,39.436971,135.713957,39.495439,135.730545,0.817879,0.575381,0.817220,0.575234,0.00368679,0.00298102
91.789976,40.398849,137.072347,40.456572,137.088190,0.814346,0.580372,0.813981,0.579835,0.00365935,0.00378862
93.440330,41.360726,138.413413,41.417766,138.428518,0.810840,0.585260,0.810280,0.585030,0.00363009,0.00395110
95.077096,42.322603,139.737722,42.379270,139.751914,0.807363,0.590048,0.806953,0.589641,0.00359922,0.00300376
96.700771,43.284481,141.045818,43.340224,141.059541,0.803916,0.594736,0.803574,0.594262,0.00356675,0.00405604
98.311833,44.246358,142.338223,44.301648,142.351173,0.800502,0.599324,0.799965,0.599141,0.00353296,0.00348565
99.910738,45.208235,143.615443,45.263037,143.627685,0.797120,0.603815,0.796832,0.603325,0.00349814,0.00306099
101.497921,46.170113,144.877957,46.223989,144.889859,0.793772,0.608209,0.793484,0.607744,0.00346219,0.00393206
103.073803,47.131990,146.126233,47.185410,146.137474,0.790460,0.612508,0.789988,0.612305,0.00342546,0.00336769
104.638780,48.093867,147.360715,48.146822,147.371334,0.787183,0.616714,0.786893,0.616296,0.00338791,0.00309330
106.193236,49.055745,148.581832,49.107883,148.592135,0.783942,0.620828,0.783758,0.620298,0.00334965,0.00345441
107.737538,50.017622,149.789996,50.069082,149.799906,0.780739,0.624852,0.780380,0.624561,0.00331098,0.00359617
109.272035,50.979499,150.985602,51.030600,150.994894,0.777573,0.628787,0.777204,0.628526,0.00327203,0.00303095
110.797064,51.941377,152.169031,51.991831,152.177962,0.774445,0.632637,0.774343,0.632062,0.00323279,0.00293998
112.312942,52.903254,153.340645,52.952811,153.349448,0.771354,0.636401,0.771146,0.635975,0.00319320,0.00373207
113.819979,53.865131,154.500797,53.914299,154.509079,0.768302,0.640083,0.767925,0.639876,0.00315375,0.00298834
115.318467,54.827009,155.649821,54.875734,155.657649,0.765287,0.643685,0.765038,0.643337,0.00311420,0.00303168
116.808686,55.788886,156.788041,55.836958,156.795613,0.762311,0.647207,0.762241,0.646662,0.00307460,0.00280460
118.290906,56.750763,157.915769,56.797999,157.923263,0.759373,0.650652,0.759211,0.650228,0.00303543,0.00351405
119.765383,57.712641,159.033300,57.759473,159.040367,0.756472,0.654022,0.756140,0.653809,0.00299648,0.00289087
121.232365,58.674518,160.140921,58.720941,160.147585,0.753608,0.657320,0.753382,0.656994,0.00295788,0.00285701
122.692083,59.636395,161.238906,59.682249,161.245322,0.750782,0.660547,0.750662,0.660110,0.00291959,0.00281509
124.144765,60.598273,162.327518,60.643418,162.333828,0.747992,0.663704,0.747946,0.663196,0.00288164,0.00284877
125.590626,61.560150,163.407012,61.604633,163.413191,0.745238,0.666795,0.745029,0.666480,0.00284425,0.00323137
127.029872,62.522028,164.477629,62.566192,164.483386,0.742520,0.669820,0.742231,0.669603,0.00280766,0.00259938
128.462701,63.483905,165.539603,63.527629,165.545060,0.739837,0.672783,0.739676,0.672431,0.00277164,0.00272485
129.889298,64.445782,166.593155,64.488956,166.598427,0.737189,0.675684,0.737083,0.675278,0.00273598,0.00267764
131.309848,65.407660,167.638503,65.450188,167.643688,0.734574,0.678526,0.734561,0.678028,0.00270120,0.00257875
132.724520,66.369537,168.675851,66.411403,168.680980,0.731992,0.681310,0.731826,0.680985,0.00266740,0.00312040
134.133481,67.331414,169.705396,67.372984,169.710139,0.729443,0.684039,0.729159,0.683846,0.00263432,0.00243569
