s,z_orig,r_orig,z_smooth,r_smooth,dr_orig,dz_orig,dr_smooth,dz_smooth,curvature_orig,curvature_smooth
0.000000,0.000000,55.035000,4.484766,67.373388,0.945692,0.325064,-0.027114,-0.010436,0.00093919,0.08826006
2.959036,0.961877,57.833336,4.551125,67.544285,0.944781,0.327690,0.141264,0.054844,0.00144088,0.00220538
5.871394,1.923755,60.582267,4.801249,68.187344,0.942920,0.333008,0.299027,0.116494,0.00199076,0.00136439
8.736704,2.885632,63.281302,5.214460,69.245364,0.940951,0.338530,0.434037,0.169953,0.00210091,0.00157750
11.554850,3.847509,65.930216,5.755929,70.623501,0.938877,0.344238,0.540624,0.213130,0.00220875,0.00155435
14.325941,4.809387,68.529011,6.399359,72.248470,0.936701,0.350115,0.630542,0.250848,0.00231428,0.00194339
17.050279,5.771264,71.077895,7.127405,74.068567,0.934425,0.356146,0.701392,0.282081,0.00241745,0.00191639
19.728330,6.733141,73.577245,7.916332,76.018537,0.932050,0.362314,0.753039,0.306538,0.00251817,0.00208515
22.360703,7.695019,76.027587,8.751086,78.055467,0.929580,0.368605,0.792636,0.327063,0.00261630,0.00224826
24.948124,8.656896,78.429574,9.619842,80.145559,0.927017,0.375004,0.821473,0.343986,0.00271170,0.00236891
27.491420,9.618773,80.783963,10.513421,82.262700,0.924363,0.381498,0.842367,0.358452,0.00280418,0.00264752
29.991501,10.580651,83.091601,11.425476,84.387988,0.921622,0.388073,0.856793,0.370795,0.00289356,0.00265306
32.449342,11.542528,85.353409,12.350039,86.506190,0.918796,0.394716,0.866261,0.381398,0.00297964,0.00280985
34.865973,12.504406,87.570366,13.283507,88.607704,0.915889,0.401414,0.872484,0.391008,0.00306225,0.00291396
37.242463,13.466283,89.743496,14.223322,90.686020,0.912905,0.408155,0.876254,0.399843,0.00314118,0.00302531
39.579911,14.428160,91.873861,15.167665,92.736866,0.909846,0.414928,0.878280,0.408101,0.00321626,0.00308023
41.879437,15.390038,93.962548,16.115241,94.757571,0.906718,0.421722,0.879043,0.416059,0.00328733,0.00327447
44.142173,16.351915,96.010661,17.065482,96.746571,0.903522,0.428524,0.878868,0.423805,0.00335423,0.00330744
46.369256,17.313792,98.019315,18.017627,98.703031,0.900265,0.435326,0.878009,0.431225,0.00341683,0.00332451
48.561822,18.275670,99.989629,18.971012,100.626736,0.896949,0.442117,0.876671,0.438418,0.00347502,0.00337274
50.720998,19.237547,101.922719,19.925241,102.517848,0.893580,0.448889,0.874968,0.445459,0.00352870,0.00341588
52.847903,20.199424,103.819694,20.879995,104.376780,0.890161,0.455631,0.873011,0.452304,0.00357782,0.00338708
54.943639,21.161302,105.681655,21.835199,106.204052,0.886697,0.462336,0.870697,0.459408,0.00362233,0.00387630
57.009287,22.123179,107.509686,22.791520,108.000007,0.883193,0.468996,0.868200,0.466362,0.00366221,0.00342075
59.045911,23.085056,109.304853,23.747783,109.765730,0.879652,0.475603,0.865758,0.472683,0.00369747,0.00337006
61.054547,24.046934,111.068206,24.703804,111.502056,0.876080,0.482152,0.862998,0.479414,0.00372814,0.00401870
63.036209,25.008811,112.800770,25.660687,113.209286,0.872480,0.488636,0.860063,0.486182,0.00375426,0.00357637
