z,r,dr_dz,d2r_dz2,curvature
-0.000000,55.035000,2.868940,-0.003425,0.000122
0.384462,56.137690,2.868339,-0.006003,0.000214
0.768924,57.238794,2.866861,-0.010294,0.000368
1.153387,58.337003,2.864808,-0.013846,0.000496
1.537849,59.431010,2.862168,-0.017537,0.000629
1.922311,60.519505,2.858929,-0.021334,0.000768
2.306773,61.601249,2.855086,-0.025200,0.000910
2.691236,62.675685,2.850637,-0.029092,0.001055
3.075698,63.742662,2.845586,-0.032967,0.001201
3.460160,64.802077,2.839941,-0.036778,0.001347
3.844622,65.853926,2.833714,-0.040480,0.001492
4.229085,66.898193,2.826924,-0.043990,0.001632
4.613547,67.934618,2.819605,-0.046874,0.001751
4.998009,68.962807,2.811909,-0.048609,0.001829
5.382471,69.982596,2.804039,-0.049440,0.001874
5.766933,70.994306,2.796074,-0.049971,0.001908
6.151396,71.998286,2.788024,-0.050417,0.001940
6.535858,72.994626,2.779899,-0.050778,0.001969
6.920320,73.983276,2.771710,-0.051030,0.001995
7.304782,74.964214,2.763475,-0.051152,0.002015
7.689245,75.937468,2.755212,-0.051183,0.002033
8.073707,76.903075,2.746930,-0.051173,0.002048
8.458169,77.861088,2.738631,-0.051139,0.002064
8.842631,78.811562,2.730318,-0.051114,0.002079
9.227094,79.754505,2.721985,-0.051349,0.002106
9.611556,80.689827,2.713551,-0.052123,0.002155
9.996018,81.617454,2.704917,-0.053269,0.002221
10.380480,82.537510,2.696057,-0.054467,0.002291
10.764942,83.450215,2.686976,-0.055620,0.002360
11.149405,84.355725,2.677679,-0.056631,0.002425
11.533867,85.254077,2.668204,-0.057043,0.002466
11.918329,86.145301,2.658709,-0.056522,0.002466
12.302791,87.029459,2.649345,-0.055472,0.002443
12.687254,87.906628,2.640139,-0.054359,0.002416
13.071716,88.776881,2.631088,-0.053272,0.002389
13.456178,89.640274,2.622190,-0.052319,0.002367
13.840640,90.496869,2.613405,-0.051773,0.002363
14.225103,91.346748,2.604636,-0.051702,0.002381
14.609565,92.190005,2.595820,-0.051831,0.002408
14.994027,93.026695,2.586953,-0.051965,0.002436
15.378489,93.856802,2.578035,-0.052086,0.002463
15.762951,94.680313,2.569069,-0.052163,0.002490
16.147414,95.497300,2.560068,-0.052155,0.002512
16.531876,96.307874,2.551048,-0.052079,0.002532
16.916338,97.112149,2.542014,-0.051983,0.002550
17.300800,97.910236,2.532969,-0.051883,0.002569
17.685263,98.702246,2.523912,-0.051774,0.002588
18.069725,99.488267,2.514846,-0.051638,0.002605
18.454187,100.268379,2.505778,-0.051468,0.002621
18.838649,101.042659,2.496712,-0.051282,0.002636
19.223112,101.811182,2.487651,-0.051092,0.002651
19.607574,102.574027,2.478594,-0.050913,0.002667
19.992036,103.331290,2.469537,-0.050842,0.002688
20.376498,104.083077,2.460446,-0.050990,0.002722
20.760960,104.829390,2.451276,-0.051294,0.002764
21.145423,105.570043,2.442015,-0.051621,0.002809
21.529885,106.304880,2.432666,-0.051927,0.002854
21.914347,107.034101,2.423231,-0.052092,0.002892
22.298809,107.758078,2.413757,-0.051882,0.002909
22.683272,108.477090,2.404334,-0.051297,0.002905
23.067734,109.191251,2.395009,-0.050584,0.002893
23.452196,109.900629,2.385783,-0.049879,0.002881
23.836658,110.605064,2.376655,-0.049233,0.002872
24.221121,111.304285,2.367606,-0.048781,0.002873
24.605583,111.998222,2.358584,-0.048573,0.002889
24.990045,112.687160,2.349553,-0.048477,0.002912
25.374507,113.371413,2.340507,-0.048388,0.002935
25.758969,114.051225,2.331448,-0.048285,0.002957
26.143432,114.726807,2.322380,-0.048135,0.002978
26.527894,115.398131,2.313317,-0.047917,0.002994
26.912356,116.064743,2.304270,-0.047663,0.003007
27.296818,116.726240,2.295242,-0.047405,0.003021
27.681281,117.382984,2.286232,-0.047150,0.003034
28.065743,118.035700,2.277240,-0.046913,0.003049
28.450205,118.684716,2.268261,-0.046703,0.003066
28.834667,119.329642,2.259289,-0.046509,0.003084
29.219130,119.970078,2.250324,-0.046317,0.003102
29.603592,120.606148,2.241366,-0.046116,0.003119
29.988054,121.238223,2.232418,-0.045877,0.003134
30.372516,121.866521,2.223492,-0.045580,0.003145
30.756978,122.490979,2.214599,-0.045252,0.003154
31.141441,123.111517,2.205742,-0.044923,0.003163
31.525903,123.728162,2.196919,-0.044625,0.003173
31.910365,124.340993,2.188119,-0.044452,0.003192
32.294827,124.950086,2.179305,-0.044451,0.003224
32.679290,125.555516,2.170446,-0.044531,0.003263
33.063752,126.157357,2.161539,-0.044610,0.003302
33.448214,126.755654,2.152587,-0.044634,0.003338
33.832676,127.350439,2.143610,-0.044495,0.003362
34.217139,127.941733,2.134651,-0.044175,0.003372
34.601601,128.529534,2.125741,-0.043782,0.003377
34.986063,129.113852,2.116880,-0.043389,0.003381
35.370525,129.694840,2.108068,-0.042994,0.003385
35.754987,130.272713,2.099307,-0.042590,0.003387
36.139450,130.847522,2.090601,-0.042177,0.003389
36.523912,131.419009,2.081950,-0.041765,0.003390
36.908374,131.986951,2.073355,-0.041363,0.003391
37.292836,132.551637,2.064812,-0.040990,0.003394
37.677299,133.113609,2.056313,-0.040661,0.003401
38.061761,133.673034,2.047850,-0.040361,0.003410
38.446223,134.229399,2.039420,-0.040068,0.003419
38.830685,134.782209,2.031023,-0.039778,0.003428
39.215148,135.331697,2.022659,-0.039493,0.003438
39.599610,135.878450,2.014326,-0.039213,0.003448
39.984072,136.422784,2.006025,-0.038937,0.003458
40.368534,136.964525,1.997754,-0.038658,0.003467
40.752996,137.503461,1.989516,-0.038348,0.003473
41.137459,138.039514,1.981324,-0.037974,0.003474
41.521921,138.572670,1.973192,-0.037558,0.003470
41.906383,139.103021,1.965125,-0.037143,0.003465
42.290845,139.630843,1.957119,-0.036871,0.003473
42.675308,140.156391,1.949117,-0.037033,0.003523
43.059770,140.679561,1.940988,-0.037661,0.003618
43.444232,141.200081,1.932658,-0.038454,0.003732
43.828694,141.717827,1.924125,-0.039129,0.003837
44.213157,142.232956,1.915438,-0.039212,0.003887
44.597619,142.745651,1.906808,-0.038360,0.003843
44.982081,143.256060,1.898437,-0.036983,0.003744
45.366543,143.764313,1.890360,-0.035568,0.003637
45.751006,144.270427,1.882566,-0.034349,0.003546
46.135468,144.774215,1.874983,-0.033524,0.003494
46.519930,145.275495,1.867510,-0.033016,0.003473
46.904392,145.774320,1.860109,-0.032606,0.003462
47.288854,146.270858,1.852775,-0.032385,0.003470
47.673317,146.765251,1.845428,-0.032713,0.003538
48.057779,147.257590,1.837899,-0.033614,0.003670
48.442241,147.747946,1.830094,-0.034709,0.003827
48.826703,148.236293,1.822013,-0.035599,0.003965
49.211166,148.722558,1.813745,-0.035737,0.004022
49.595628,149.206685,1.805544,-0.034916,0.003971
49.980090,149.688654,1.797598,-0.033660,0.003867
50.364552,150.168461,1.789925,-0.032406,0.003760
50.749015,150.646207,1.782512,-0.031253,0.003660
51.133477,151.122042,1.775329,-0.030234,0.003574
51.517939,151.596078,1.768349,-0.029299,0.003495
51.902401,152.068354,1.761563,-0.028517,0.003431
52.286863,152.538887,1.754910,-0.028514,0.003460
52.671326,153.007570,1.748086,-0.029790,0.003647
53.055788,153.474235,1.740787,-0.031806,0.003931
53.440250,153.938831,1.732960,-0.033707,0.004208
53.824712,154.401519,1.724703,-0.034318,0.004331
54.209175,154.862467,1.716527,-0.032755,0.004178
54.593637,155.321734,1.708964,-0.029873,0.003848
54.978099,155.779319,1.702125,-0.026999,0.003509
55.362561,156.235244,1.695909,-0.025387,0.003327
55.747024,156.689563,1.689815,-0.025879,0.003418
56.131486,157.142321,1.683325,-0.027648,0.003684
56.515948,157.593438,1.676332,-0.029447,0.003959
56.900410,158.042773,1.668920,-0.030300,0.004114
57.284872,158.490278,1.661462,-0.029664,0.004068
57.669335,158.936078,1.654316,-0.028181,0.003901
58.053797,159.380310,1.647544,-0.026709,0.003731
58.438259,159.823027,1.641085,-0.025812,0.003637
58.822721,160.264245,1.634720,-0.025731,0.003656
59.207184,160.703980,1.628265,-0.026070,0.003737
59.591646,161.142250,1.621693,-0.026392,0.003816
59.976108,161.579069,1.615038,-0.026480,0.003863
60.360570,162.014445,1.608383,-0.026279,0.003868
60.745033,162.448377,1.601789,-0.025952,0.003854
61.129495,162.880844,1.595260,-0.025616,0.003838
61.513957,163.311783,1.588797,-0.025276,0.003820
61.898419,163.741141,1.582404,-0.024933,0.003801
62.282881,164.168991,1.576079,-0.024595,0.003782
62.667344,164.595464,1.569822,-0.024292,0.003767
63.051806,165.020645,1.563616,-0.024063,0.003763
63.436268,165.444526,1.557442,-0.023892,0.003768
63.820730,165.867089,1.551290,-0.023746,0.003777
64.205193,166.288341,1.545156,-0.023647,0.003793
64.589655,166.708298,1.539021,-0.023628,0.003822
64.974117,167.126979,1.532863,-0.023654,0.003858
65.358579,167.544406,1.526679,-0.023590,0.003881
65.743042,167.960597,1.520519,-0.023177,0.003845
66.127504,168.375494,1.514518,-0.022340,0.003737
66.511966,168.789002,1.508765,-0.021353,0.003600
66.896428,169.201101,1.503253,-0.020759,0.003527
67.280890,169.611911,1.497785,-0.021108,0.003614
67.665353,170.021554,1.492059,-0.022250,0.003840
68.049815,170.430055,1.485954,-0.023423,0.004076
68.434277,170.837393,1.479570,-0.023555,0.004136
68.818739,171.243560,1.473358,-0.022036,0.003903
69.203202,171.648571,1.467753,-0.019611,0.003501
69.587664,172.052446,1.462815,-0.017725,0.003186
69.972126,172.455193,1.458201,-0.017772,0.003215
70.356588,172.856818,1.453215,-0.019811,0.003609
70.741051,173.257328,1.447473,-0.022386,0.004111
71.125513,173.656739,1.441061,-0.023680,0.004388
71.509975,174.055058,1.434580,-0.022642,0.004234
71.894437,174.452248,1.428697,-0.020116,0.003793
72.278899,174.848244,1.423565,-0.017749,0.003371
72.663362,175.243036,1.418954,-0.016733,0.003199
73.047824,175.636710,1.414359,-0.017195,0.003309
