z,r,dr_dz,d2r_dz2,curvature
4.484766,67.373388,2.609074,-167.673240,7.686261
4.864741,68.350273,3.015196,-177.933544,5.550475
5.244716,69.322620,2.568061,-123.442240,5.897632
5.624691,70.290341,2.577127,0.744338,0.035237
6.004667,71.253405,2.577694,0.010862,0.000514
6.384642,72.211469,2.577059,-0.040277,0.001907
6.764617,73.164094,2.576007,-0.045720,0.002167
7.144592,74.111296,2.574755,-0.043666,0.002072
7.524568,75.053162,2.573388,-0.040294,0.001915
7.904543,75.989573,2.571946,-0.036969,0.001759
8.284518,76.920375,2.570452,-0.034001,0.001621
8.664493,77.845459,2.568917,-0.031484,0.001503
9.044468,78.764736,2.567343,-0.029947,0.001432
9.424444,79.678146,2.565668,-0.029933,0.001434
9.804419,80.585641,2.563809,-0.030777,0.001477
10.184394,81.487109,2.561755,-0.031508,0.001515
10.564369,82.382373,2.559528,-0.031958,0.001540
10.944345,83.271323,2.557144,-0.032250,0.001558
11.324320,84.154033,2.554613,-0.032392,0.001569
11.704295,85.030602,2.551954,-0.032337,0.001570
12.084270,85.901039,2.549189,-0.032150,0.001566
12.464245,86.765305,2.546326,-0.031947,0.001560
12.844221,87.623380,2.543367,-0.031774,0.001557
13.224196,88.475284,2.540315,-0.031680,0.001557
13.604171,89.321036,2.537161,-0.031993,0.001577
13.984146,90.160657,2.533835,-0.033016,0.001633
14.364122,90.994164,2.530259,-0.034408,0.001708
14.744097,91.821594,2.526425,-0.035693,0.001779
15.124072,92.643009,2.522350,-0.036773,0.001841
15.504047,93.458462,2.518050,-0.037622,0.001892
15.884022,94.267938,2.513553,-0.038012,0.001920
16.263998,95.071400,2.508934,-0.037832,0.001920
16.643973,95.868862,2.504260,-0.037427,0.001909
17.023948,96.660404,2.499531,-0.037115,0.001902
17.403923,97.446114,2.494737,-0.036941,0.001903
17.783899,98.226079,2.489866,-0.036914,0.001911
18.163874,99.000387,2.484902,-0.037064,0.001929
18.543849,99.769119,2.479822,-0.037361,0.001954
18.923824,100.532337,2.474614,-0.037713,0.001983
19.303799,101.290106,2.469276,-0.038070,0.002013
19.683775,102.042491,2.463809,-0.038430,0.002044
20.063750,102.789557,2.458214,-0.038770,0.002074
20.443725,103.531384,2.452495,-0.039061,0.002102
20.823700,104.268068,2.446664,-0.039325,0.002130
21.203676,104.999680,2.440721,-0.039601,0.002158
21.583651,105.726101,2.434663,-0.039906,0.002189
21.963626,106.447144,2.428487,-0.040213,0.002220
22.343601,107.162821,2.422199,-0.040446,0.002248
22.723576,107.873447,2.415819,-0.040569,0.002270
23.103552,108.579338,2.409363,-0.040656,0.002290
23.483527,109.280650,2.402831,-0.040767,0.002312
23.863502,109.977470,2.396218,-0.040916,0.002337
24.243477,110.669766,2.389519,-0.041167,0.002369
24.623453,111.357300,2.382709,-0.041588,0.002410
25.003428,112.039866,2.375758,-0.042126,0.002460
25.383403,112.717597,2.368658,-0.042688,0.002512
25.763378,113.390791,2.361407,-0.043244,0.002564
26.143353,114.059712,2.354009,-0.043675,0.002611
26.523329,114.724561,2.346504,-0.043757,0.002637
26.903304,115.385490,2.338971,-0.043495,0.002642
27.283279,116.042241,2.331452,-0.043138,0.002642
27.663254,116.694352,2.323943,-0.042819,0.002644
28.043229,117.341709,2.316439,-0.042567,0.002650
28.423205,117.984905,2.308927,-0.042448,0.002665
28.803180,118.624551,2.301377,-0.042479,0.002689
29.183155,119.260590,2.293768,-0.042583,0.002718
29.563130,119.892590,2.286096,-0.042701,0.002749
29.943106,120.520336,2.278360,-0.042814,0.002779
30.323081,121.144109,2.270565,-0.042872,0.002807
30.703056,121.764235,2.262727,-0.042842,0.002830
31.083031,122.380785,2.254862,-0.042770,0.002850
31.463006,122.993672,2.246972,-0.042703,0.002870
31.842982,123.602850,2.239054,-0.042646,0.002892
32.222957,124.208374,2.231109,-0.042589,0.002914
32.602932,124.810316,2.223138,-0.042523,0.002936
32.982907,125.408746,2.215143,-0.042455,0.002957
33.362883,126.003733,2.207125,-0.042392,0.002980
33.742858,126.595337,2.199082,-0.042326,0.003002
34.122833,127.183592,2.191017,-0.042212,0.003022
34.502808,127.768524,2.182948,-0.042020,0.003036
34.882783,128.350144,2.174888,-0.041790,0.003047
35.262759,128.928443,2.166839,-0.041562,0.003058
35.642734,129.503463,2.158799,-0.041366,0.003072
36.022709,130.075380,2.150760,-0.041282,0.003094
36.402684,130.644386,2.142688,-0.041344,0.003127
36.782660,131.210418,2.134559,-0.041476,0.003167
37.162635,131.773206,2.126370,-0.041609,0.003207
37.542610,132.332634,2.118123,-0.041692,0.003244
37.922585,132.889106,2.109835,-0.041623,0.003270
38.302560,133.443108,2.101550,-0.041381,0.003283
38.682536,133.994583,2.093293,-0.041074,0.003290
39.062511,134.542992,2.085066,-0.040769,0.003297
39.442486,135.087981,2.076868,-0.040463,0.003304
39.822461,135.629936,2.068702,-0.040140,0.003309
40.202437,136.169397,2.060573,-0.039804,0.003313
40.582412,136.706528,2.052482,-0.039468,0.003316
40.962387,137.241126,2.044430,-0.039143,0.003320
41.342362,137.773006,2.036413,-0.038840,0.003326
41.722337,138.302119,2.028426,-0.038570,0.003335
42.102313,138.828456,2.020463,-0.038321,0.003345
42.482288,139.352145,2.012521,-0.038079,0.003355
42.862263,139.873463,2.004601,-0.037838,0.003366
43.242238,140.392610,1.996703,-0.037594,0.003376
43.622214,140.909424,1.988829,-0.037346,0.003386
44.002189,141.423646,1.980980,-0.037098,0.003395
44.382164,141.935213,1.973155,-0.036849,0.003404
44.762139,142.444291,1.965356,-0.036566,0.003410
45.142114,142.951050,1.957596,-0.036214,0.003409
45.522090,143.455624,1.949894,-0.035817,0.003404
45.902065,143.958135,1.942251,-0.035421,0.003398
46.282040,144.458564,1.934666,-0.035164,0.003404
46.662015,144.956719,1.927082,-0.035322,0.003451
47.041991,145.452442,1.919376,-0.035926,0.003544
47.421966,145.945812,1.911477,-0.036687,0.003654
47.801941,146.436990,1.903385,-0.037338,0.003756
