s,X,Y,Z,lambda,valid,phi
0.0,54.086351196216725,1499.9996651905833,-0.3232546754530515,inf,False,
10.980504319889555,52.85425882968786,88.26289561560257,4.8304744064525655,77.44805869237896,True,-1.7763568394002505e-15
21.96100863977911,49.35464584803225,122.41143499324215,12.689102086457954,101.28462197011478,True,0.0
32.941512959668664,44.622122098069134,159.12994424208065,23.559529179311532,128.3985841499375,True,3.552713678800501e-15
43.92201727955822,39.237933986475284,192.68938480768836,36.25947531956251,153.07022344677597,True,-3.552713678800501e-15
54.90252159944777,33.5674244136426,222.14857330372564,50.009802047321166,174.30382713772596,True,1.4210854715202004e-14
65.88302591933733,27.590516217084154,249.0708376550324,64.87708374707388,193.71251033473644,True,7.105427357601002e-15
76.86353023922689,21.10123033078529,275.11612435480674,81.37284064766989,213.13388057943635,True,7.105427357601002e-15
87.84403455911644,13.871550301645897,301.27419865583204,100.08426808247951,233.82206108809083,True,-2.842170943040401e-14
98.82453887900598,5.876678194817536,327.00821318518064,121.10997968179365,255.45363330220414,True,-2.842170943040401e-14
109.80504319889555,-2.360187383689336,349.210524601767,143.15169402993868,274.7745400124474,True,1.4210854715202004e-14
120.78554751878511,-9.952972959058016,364.31921923296113,163.90550443635422,287.6399129588993,True,-1.4210854715202004e-14
131.76605183867466,-16.48375146094834,372.2849831709449,182.175038369853,293.4952426493613,True,-2.842170943040401e-14
142.7465561585642,-22.081014735055213,375.5257471013265,198.16757454370037,294.5679421968076,True,5.684341886080802e-14
153.72706047845378,-27.008149962139427,376.3554565663735,212.48871664785366,293.1276314970132,True,0.0
164.70756479834333,-31.471623494126064,376.23354110166173,225.63992703496615,290.6134699957941,True,0.0
175.68806911823287,-35.58810045641805,375.876512850215,237.9128217054066,287.70513231718127,True,5.684341886080802e-14
186.66857343812242,-39.39502125262551,375.4966019789425,249.40079722674352,284.55031460475305,True,-2.842170943040401e-14
197.64907775801197,-42.91017738971543,375.111160168649,260.14999018132875,281.12401058939815,True,0.0
208.62958207790155,-46.17982365199514,374.7226837128675,270.2902367353316,277.4664756685049,True,2.842170943040401e-14
219.6100863977911,-49.28285238555431,374.3272181761088,280.0526246120893,273.7094630011291,True,2.842170943040401e-14
230.59059071768064,-52.333571287863116,373.91290846695324,289.7846286601673,270.0932245351356,True,-4.263256414560601e-14
241.57109503757022,-55.48695565903805,373.4579809811202,299.97242359765545,266.99056910430966,True,1.4210854715202004e-14
252.55159935745976,-58.9493816956171,372.9271191589902,311.2778251739878,264.94676151819726,True,2.842170943040401e-14
263.5321036773493,-63.00063725056144,372.26413406680456,324.6059919246321,264.75293119247397,True,-1.4210854715202004e-14
274.5126079972389,-68.03683223775501,371.37670252883447,341.233114975317,267.58501119687145,True,-2.842170943040401e-14
285.4931123171284,-74.65114556996241,370.10386675193945,363.04368316041956,275.26394307470395,True,1.4210854715202004e-14
296.473616637018,-83.75583389857684,368.15027640825167,392.9663831510954,290.73209180087474,True,-4.263256414560601e-14
307.45412095690756,-96.76917575167377,364.9457390235425,435.72821831697826,318.8789368376353,True,1.4210854715202004e-14
318.4346252767971,-115.9401457240047,359.31538850395617,498.8740818614988,367.6928045486883,True,4.263256414560601e-14
