s,X,Y,Z,lambda,valid,phi
0.0,54.086351196216725,1499.9996651905833,-0.3232546754530515,inf,False,
10.980504319889555,53.34264963430022,69.71552788992472,3.748477948817066,58.862739446697915,True,0.0
21.96100863977911,51.144897693985605,87.20476500737894,8.68735268515686,65.80605644899718,True,-8.881784197001252e-16
32.941512959668664,48.50882384978116,105.57323356980112,14.752374218187427,73.98357071568138,True,3.552713678800501e-15
43.92201727955822,45.544471382730265,123.86921728720728,21.745980065432036,82.45415292476866,True,-1.7763568394002505e-15
54.90252159944777,42.33871862098002,141.51009752191595,29.497544242081503,90.63631791966813,True,3.552713678800501e-15
65.88302591933733,38.907233025734016,158.42451514608854,37.98634015301106,98.48679975842062,True,0.0
76.86353023922689,35.20061184170094,174.85025368693132,47.34384360802838,106.3162321345216,True,0.0
87.84403455911644,31.133620420092857,191.10341258501307,57.79254130557254,114.55693071877924,True,0.0
98.82453887900598,26.61055003182967,207.45656937090183,69.5854576444615,123.63077735064554,True,-7.105427357601002e-15
109.80504319889555,21.54336513042726,224.09634698104207,82.95958292543018,133.8915122776527,True,7.105427357601002e-15
120.78554751878511,15.867689185562366,241.10778114077402,98.09378590033944,145.58729113517114,True,0.0
131.76605183867466,9.562348791167828,258.4477483370269,115.0570999146943,158.80250700468608,True,-1.4210854715202004e-14
142.7465561585642,2.682589427708095,275.86760513733077,133.72051135689023,173.33096225978247,True,0.0
153.72706047845378,-4.581812440963667,292.7624017497094,153.59910495003697,188.44369866052133,True,2.842170943040401e-14
164.70756479834333,-11.85659512156537,308.0928773635341,173.70794598593767,202.72245766571797,True,4.263256414560601e-14
175.68806911823287,-18.66540867538888,320.74897258093836,192.76567646031418,214.4679292231396,True,4.263256414560601e-14
186.66857343812242,-24.665687701529038,330.24112836981885,209.82097562585471,222.6506099495309,True,1.4210854715202004e-14
197.64907775801197,-29.783583556786375,336.8794795631141,224.63222590530137,227.3143418787866,True,-1.4210854715202004e-14
208.62958207790155,-34.13972140329059,341.34752359169806,237.491420130451,229.14848992868392,True,0.0
219.6100863977911,-37.931611677065106,344.3023158937121,248.92061712973768,228.99316493688045,True,1.4210854715202004e-14
230.59059071768064,-41.37263777530411,346.2275413035861,259.5126882435336,227.63133579917135,True,-1.4210854715202004e-14
241.57109503757022,-44.67720348956273,347.4283935668414,269.8942186431765,225.77056696691642,True,-2.842170943040401e-14
252.55159935745976,-48.06846403846716,348.06610119842344,280.74904799821485,224.09984218582537,True,0.0
263.5321036773493,-51.802363627277984,348.19698019914915,292.886402958031,223.39157783403743,True,2.842170943040401e-14
274.5126079972389,-56.21801888518417,347.8169029682272,307.3845246417193,224.68424696159678,True,-4.263256414560601e-14
285.4931123171284,-61.840472401303806,346.91833387226177,325.8881386622295,229.63262960570782,True,1.4210854715202004e-14
296.473616637018,-69.50959497118754,345.4634770506747,351.05650747259995,240.99192827024126,True,-2.842170943040401e-14
307.45412095690756,-80.44869673998734,343.0810472155698,386.94413596163736,262.98341399115674,True,5.684341886080802e-14
318.4346252767971,-96.60677058844598,338.8860127629835,440.06335503099604,302.5020047558487,True,0.0
329.41512959668665,-120.85090513441358,331.0160970384735,520.0980340062335,369.95801184288416,True,2.842170943040401e-14
340.3956339165762,-155.72631205049802,316.11060328059017,636.1081999155922,475.38599074101654,True,-1.4210854715202004e-14
351.37613823646575,-198.1095588245169,291.1447775733859,779.0202263213864,610.1354399507701,True,2.1316282072803006e-14
362.3566425563553,-217.55363852578702,259.8704235277299,849.599053278645,671.0238536269591,True,1.7763568394002505e-14
373.33714687624484,-223.2239072566354,238.9330132954181,873.7380123877409,684.819748529129,True,1.687538997430238e-14
384.3176511961344,-225.06258061742736,229.81242947459057,882.5994880635717,683.0638512532097,True,-7.993605777301127e-15
395.29815551602394,-225.59569446746025,226.75629904974315,885.4372420350608,675.0504026459878,True,-3.552713678800501e-15
406.2786598359135,-226.0011708559769,224.18462324685711,887.7951943829357,666.5355993424647,True,0.0
417.2591641558031,-226.36314089447384,221.64160838564797,890.1035525299853,657.9689354874731,True,-3.552713678800501e-15
428.2396684756926,-226.68317663846665,219.1280145510417,892.364780040112,649.3529873116593,True,3.552713678800501e-15
439.2201727955822,-226.96277876270423,216.64456110330545,894.5810665855272,640.6900445574836,True,-7.105427357601002e-15
450.20067711547176,-227.2033859501375,214.19193000966106,896.7543603123486,631.9821443926979,True,-1.4210854715202004e-14
461.1811814353613,-227.4063827818219,211.7707687018439,898.8863956533799,623.2311005068152,True,2.1316282072803006e-14
472.16168575525086,-227.5731064540538,209.38169254786024,900.9787172271458,614.4385281006698,True,0.0
